ID ra dec shotid
4877729420967725825 13.129369 -0.708555 20191227010
4877729420967761920 34.225796 -0.772531 20191227015
4877729402797963009 210.581168 51.513841 20190301025
4877729403550855168 226.012352 51.519155 20190408022
4877729402795865088 209.694967 51.264387 20180515013
4862615755766153892 8.65366 -0.437293 20190831010
4877729402867169537 227.020032 51.856216 20190301028
4862615758296142242 153.741056 51.087481 20180412015
4877729431225012225 35.233207 0.635358 20191001012
4877729431225012225 35.233207 0.635358 20191002014
4877729431225012225 35.233207 0.635358 20191006021
4877729431225012225 35.233207 0.635358 20191023020
4877729415181655041 205.594765 50.627442 20200130018
4877729397815162880 180.757161 51.947442 20190305014
4877729396926014720 169.821767 50.844564 20190202011
4877729396926014720 169.821767 50.844564 20191125026
4862615787731518546 192.72472 51.310468 20190409024
4877729413835264513 195.398094 50.827209 20190701015
4877729430954437121 20.313854 0.258942 20180915019
4877729415179541761 190.683763 51.819329 20190404022
4862615755799741110 9.964528 -0.161726 20181128008
4862615755799741110 9.964528 -0.161726 20181129007
4862615755799741110 9.964528 -0.161726 20181211010
4862615755799741110 9.964528 -0.161726 20181228012
4877729411723486721 220.192999 51.169663 20180409011
4877729411723486721 220.192999 51.169663 20180413006
4877729411723486721 220.192999 51.169663 20180415022
4877729411725582337 219.063817 52.022419 20200203025
4877729394751187200 26.30705 0.784311 20190929015
4877729394751187200 26.30705 0.784311 20191123011
4877729399180448513 189.191882 50.755071 20190621012
4877729402802164736 217.611887 50.726471 20190509011
4877729402802164736 217.611887 50.726471 20190624019
4862615755031651883 22.534173 -0.010261 20180110009
4862615755031651883 22.534173 -0.010261 20180911018
4877729415179549185 197.477491 51.228201 20180414010
4877729388019380737 233.754533 51.612296 20180619012
