ra dec shotid ifuslot amp wl fibnum detectid cat cat2 gmag flux fwhm
214.06307983398438 51.41204071044922 20180510004 35 LU 5378.22021484375 23 1000305144 N/A good 24.490988160967508 15.539999961853027 3.1700000762939453
186.7081298828125 51.28316116333008 20180510010 22 LL 4687.0 99 1000305543 N/A good 23.957843825013278 18.229999542236328 3.6500000953674316
186.97702026367188 51.452598571777344 20180510010 105 LU 4210.64990234375 15 1000305571 N/A good 24.351011234001266 18.239999771118164 3.5399999618530273
186.75103759765625 51.33572006225586 20180510010 42 RL 4061.31005859375 101 1000305703 N/A good 24.325176003139937 31.09000015258789 2.950000047683716
186.8134002685547 51.37778091430664 20180510010 63 LL 4765.919921875 36 1000305705 N/A good 24.33444337492299 20.170000076293945 3.1500000953674316
203.660888671875 51.45306396484375 20180510015 93 LL 4029.949951171875 111 1000305805 N/A good 24.568816698971006 48.2400016784668 4.659999847412109
203.60768127441406 51.28768539428711 20180510015 34 LL 4769.27978515625 81 1000305884 N/A good 23.869485283504368 71.76000213623047 5.599999904632568
220.0151824951172 51.40258026123047 20180511009 36 LU 4402.25 83 1000306177 N/A good 24.765515232892152 28.850000381469727 4.679999828338623
219.9967498779297 51.428077697753906 20180511009 26 LU 4138.58984375 85 1000306207 N/A good 25.34736960573913 18.65999984741211 3.3299999237060547
220.2186737060547 51.289546966552734 20180511009 83 RU 3988.4599609375 38 1000306377 N/A good 27.375222378535994 13.029999732971191 2.440000057220459
220.0113525390625 51.39303207397461 20180511009 36 RL 3627.110107421875 61 1000306379 N/A good 24.193070105890392 60.13999938964844 6.820000171661377
182.51324462890625 51.23313903808594 20180511022 27 RL 4564.2001953125 93 1000308116 N/A good 25.829279495544778 19.15999984741211 3.559999942779541
182.52740478515625 51.25416946411133 20180511022 37 LU 5090.919921875 25 1000308135 N/A good 25.709233126472416 20.40999984741211 3.3399999141693115
188.906005859375 51.29462814331055 20180511023 46 LL 4333.85986328125 20 1000308311 N/A good 23.73653490815535 52.65999984741211 3.5
188.9052734375 51.29452133178711 20180511023 46 LL 4333.64990234375 19 1000308391 N/A good 24.011953661835843 24.860000610351562 3.5799999237060547
